model_name,n,mae,rmse,r2,bias
stacked_ensemble,4500,0.35571442507295775,0.5410777216084443,0.6051967144948726,-0.019131770857744673
STARLING-AQI,4500,0.3574411354753242,0.5437740552002293,0.6012520917015978,-0.024856754754743478
hgb_strong,4500,0.3689266365757587,0.5481600225293549,0.5947937166001983,-0.00649085077594464
random_forest_strong,4500,0.37245558839189624,0.5556202356647495,0.5836893111557903,0.010376584896641927
grad_boost_strong,4500,0.37393844140942245,0.5593397696171701,0.5780967689619619,-0.02327102941363316
extra_trees_strong,4500,0.38578871796647857,0.5630047250332206,0.5725497924186078,0.022010034255488024
knn_distance,4500,0.4383785667485213,0.6133660099062934,0.4926579445105371,-0.05341406795854008
adaboost_strong,4500,0.5036160436773222,0.6641184524449733,0.4052252167774206,0.12186233613674219
mlp_deep,4500,0.4702694156621949,0.6840649912792031,0.368961026123217,-0.022806514050410245
