model_name,n,mae,rmse,r2,bias
random_forest_strong,450,0.45404357227380004,0.6045963572403935,0.3561522649186617,0.0343055142824319
hgb_strong,450,0.4571415509954577,0.6065958451686453,0.3518866271547503,0.010683795027681735
grad_boost_strong,450,0.4631175638302662,0.612484073479234,0.33924307983359614,0.009075344693311154
extra_trees_strong,450,0.4738816999540806,0.6132192721239832,0.3376558413332861,0.05509048146380762
STARLING-AQI,450,0.48088458375956156,0.6183626321177891,0.3264984583284042,0.021758102827453683
stacked_ensemble,450,0.48389626100291416,0.6197929871728416,0.32337905732079153,0.024532952186422534
mlp_deep,450,0.4984418371860176,0.6416610585710624,0.2747904963332085,0.0431306002544819
adaboost_strong,450,0.5446688148978123,0.670604717673469,0.20789030544078058,0.10020073028495892
knn_distance,450,0.554390938259247,0.691935386337714,0.15669785912838308,0.08553862232858267
