idw_power,idw_blend,n,mae,rmse,r2,bias
1.0,1.0,195300,0.6573617295635242,0.8571530692683128,0.20977201950547206,-0.004560717619115349
1.0,0.75,195300,0.6680540623357233,0.8764758326683587,0.17502083319228226,-0.00719486271169426
1.5,1.0,195300,0.6780640269069341,0.890519875107493,0.14757346558900283,-0.007911353474704433
1.5,0.75,195300,0.6892881522291249,0.909713674960686,0.10998382315748374,-0.009707839603386064
1.0,0.5,195300,0.6898218418540081,0.9110200088939212,0.10833978559231076,-0.009829007804273154
2.0,1.0,195300,0.7032037292531536,0.9292089633463493,0.07017295273440656,-0.011053362690714398
1.5,0.5,195300,0.7079208868465678,0.937979196458243,0.05272304917081408,-0.0115043257320677
2.0,0.75,195300,0.7115447091354402,0.9428153511526656,0.04199836550284224,-0.012064346515393544
1.0,0.25,195300,0.7224992356771537,0.9589277976574229,0.00972887670555784,-0.012463152896852065
2.5,1.0,195300,0.726054338085412,0.9623636042372735,0.0016732255486508936,-0.013609270264083873
2.0,0.5,195300,0.7248269687288791,0.9624454506917847,0.000776028725256848,-0.013075330340072673
2.5,0.75,195300,0.7300515676263135,0.9694571892337299,-0.01384668206207824,-0.01398127719542063
1.5,0.25,195300,0.7333232162952695,0.9744453606098635,-0.024208856371006077,-0.013300811860749322
2.5,0.5,195300,0.7379434812117408,0.9812240508345739,-0.03943417110175921,-0.014353284126757416
3.0,1.0,195300,0.7439061739658261,0.9875210168788869,-0.050897713516320976,-0.015480322679348851
2.0,0.25,195300,0.7426050952167064,0.9877108923951274,-0.05349405759834941,-0.01408631416475182
3.0,0.75,195300,0.7439430230616851,0.9890929511270755,-0.055178490067183894,-0.015384566506869377
3.0,0.5,195300,0.7475075682328223,0.9947233593081003,-0.06825777890941413,-0.0152888103343899
2.5,0.25,195300,0.7495057466383611,0.9975276664527725,-0.07508924157039208,-0.014725291058094184
3.0,0.25,195300,0.7543980855183041,1.004434949485327,-0.09013558004301182,-0.015193054161910425
4.0,0.5,195300,0.7593357091632239,1.0112530351250926,-0.10328616857488082,-0.016321845404132757
4.0,0.25,195300,0.7603356389669904,1.0127481057508065,-0.10800707962854665,-0.015709571696781856
4.0,0.75,195300,0.7615703168431934,1.0135934687408812,-0.10664916030697963,-0.016934119111483657
1.0,0.0,195300,0.764599509640331,1.018122906814316,-0.12081189346797679,-0.015097297989430963
1.5,0.0,195300,0.764599509640331,1.018122906814316,-0.12081189346797679,-0.015097297989430963
2.0,0.0,195300,0.764599509640331,1.018122906814316,-0.12081189346797679,-0.015097297989430963
2.5,0.0,195300,0.764599509640331,1.018122906814316,-0.12081189346797679,-0.015097297989430963
3.0,0.0,195300,0.764599509640331,1.018122906814316,-0.12081189346797679,-0.015097297989430963
4.0,0.0,195300,0.764599509640331,1.018122906814316,-0.12081189346797679,-0.015097297989430963
4.0,1.0,195300,0.767097922888449,1.0195573777143083,-0.11809605482484291,-0.01754639281883455
